chinRyo,ekiToho,senMenseki,chiku,kai_all,shinchiku,kai_above,south,parking,autolock,aircon,bathtoilet,addbatch,flooring,pet,url_detail
78500,9,25.43,10,4,0,1,0,0,1,0,1,0,0,0,https://www.chintai.net/detail/bk-C010003840000000001074100002/
80500,9,25.35,10,4,0,1,0,0,1,0,1,0,0,0,https://www.chintai.net/detail/bk-C010003840000000001074100003/
80500,9,25.35,10,4,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010019770149160000363920001/
82500,9,26.09,10,4,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010019770149160000366540001/
81000,3,28.64,10,4,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010064240000000000009240017/
98000,5,26.63,10,14,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010003840000000001074360001/
98000,4,26.63,10,14,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000007211350032/
131000,6,40.87,10,15,0,1,0,0,1,1,1,1,1,1,https://www.chintai.net/detail/bk-0000006630000000003756130050/
72000,8,25.57,10,11,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079757440001/
65000,13,35.36,10,3,0,1,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004280000000009142570024/
53000,13,26,10,3,0,1,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004280000000009142570010/
66000,13,35.36,10,3,0,1,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004280000000009142570027/
76000,10,26.08,11,2,0,0,1,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010057620014370201010100001/
56000,8,13.37,11,3,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010037980000000000486690001/
77000,10,23.14,11,3,0,1,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003194790001/
60000,4,29.25,11,3,0,1,0,1,0,1,1,0,0,0,https://www.chintai.net/detail/bk-C010063050000000001003330108/
60000,4,29.25,11,3,0,1,0,1,0,1,1,0,0,0,https://www.chintai.net/detail/bk-C010063070000000001027390101/
60000,4,29.25,11,3,0,1,0,1,0,1,1,0,0,0,https://www.chintai.net/detail/bk-C010002440000000001012280100/
64000,4,29.25,11,3,0,1,0,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010002440000000001012280101/
64000,4,29.25,11,3,0,1,0,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010063050000000001003330100/
71000,3,26.04,11,3,0,0,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010026540000000001000690112/
84000,5,27,11,7,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010076250052810001875300001/
79500,5,25.6,11,5,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072420000000001000790026/
53000,6,15.1,11,6,0,1,1,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079776720001/
53000,6,15.1,11,6,0,1,1,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010078490000000001014790004/
53000,6,15.1,11,6,0,1,1,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003234230001/
75000,5,31.14,11,5,0,0,0,1,1,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000007201940002/
112000,6,39.3,12,5,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010046450000420079709540001/
82000,5,30.32,12,7,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010008250000000001040270100/
65500,5,21.46,12,6,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010019770149160000362040001/
75000,2,41.48,12,3,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000006144640004/
50000,5,20.2,12,2,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000009138680005/
67000,11,19.22,12,4,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000009138340008/
87000,7,33,12,3,0,0,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000003149850001/
71000,3,20.9,12,12,0,1,0,0,1,1,1,0,1,1,https://www.chintai.net/detail/bk-C010078490000000001011820009/
66000,10,23.37,13,2,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000007200290002/
68000,10,23.37,13,2,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000007200290006/
77000,3,25.24,13,8,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000003035130026/
80000,6,25.5,13,4,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010078490000000001054550001/
80000,2,25.5,13,4,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010078510000000001049990001/
80000,5,25.5,13,4,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079689790001/
80000,6,25.5,13,4,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003214370001/
67000,1,21.09,13,5,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000002919860005/
73000,3,21.75,14,3,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000009131370002/
250000,6,142.54,14,2,0,1,1,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000007817830001/
64000,7,19.3,14,3,0,0,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010083690000000000001210001/
64000,7,19.3,14,3,0,0,1,0,1,1,1,0,0,0,https://www.chintai.net/detail/bk-C010037980000000000479310001/
